Date,Gold_return,SPX_return,Gold_SPY_ratio_return
12/31/1999,,,
1/3/2000,,,
1/4/2000,,,
1/5/2000,-0.003736992,0.00192038,
1/6/2000,-0.003751009,0.000955246,0.702053273
1/11/2000,0.002305579,-0.013148634,0.095228882
1/24/2000,-0.00191321,-0.028022615,-1.809045555
1/25/2000,0.002781643,0.006046484,1.907794035
1/26/2000,-0.007318381,-0.004221575,1.32661606
1/27/2000,-0.001224954,-0.00394627,-1.720048331
1/31/2000,-0.012104349,0.024904904,1.171440378
2/1/2000,-0.001059509,0.010571692,-1.578874203
2/2/2000,0.009145333,-0.00011354,6.689221403
2/3/2000,-0.001927627,0.011185365,-6.147163808
2/4/2000,0.029723978,-0.00042115,6.015036396
2/7/2000,0.062855682,-9.12726E-05,2.278026254
2/8/2000,-0.054040572,0.012198507,-5.046324628
2/9/2000,0.040842247,-0.021042193,-0.825234125
2/14/2000,-0.010163837,0.002030925,2.577310573
2/15/2000,-0.01338577,0.008674871,-1.176582648
2/17/2000,0.007410491,0.000425083,3.439017038
2/18/2000,-0.003945427,-0.030847071,-4.914852716
2/23/2000,-0.000827472,0.006281215,-1.978115157
2/25/2000,-0.016027336,-0.014940039,-0.634075731
3/2/2000,-0.010295218,0.001861679,3.001487734
3/3/2000,-0.00484095,0.01964283,-3.110802353
3/6/2000,0.001039321,-0.012776692,-1.108453488
3/7/2000,0.003284075,-0.025965272,0.44138
3/15/2000,0.001384323,0.02398981,-1.851531741
3/17/2000,-0.012078921,0.004105461,3.087709418
3/20/2000,0.006495239,-0.005367854,-0.888502493
3/21/2000,-0.002101945,0.02524452,-2.676387268
3/27/2000,-0.002460458,-0.002359636,-1.542387767
3/28/2000,-0.012393926,-0.010641381,0.110615888
3/31/2000,0.003619913,0.007138822,-0.725413997
4/3/2000,0.002706362,0.004919216,0.081553618
4/4/2000,-0.00234509,-0.00749162,-0.563917385
4/6/2000,-0.00695624,0.009348583,-1.468204349
4/11/2000,0.000885348,-0.002575666,-1.015189089
4/14/2000,0.002129926,-0.060045134,-1.699782748
4/17/2000,-0.000886918,0.032548196,-0.263715513
4/18/2000,-0.002309675,0.028260265,1.098374731
4/19/2000,0.000888968,-0.009856898,0.098484341
4/20/2000,-0.005345701,0.004940594,2.484672675
5/4/2000,0.015839064,-0.003915507,5.087554413
5/8/2000,-0.010203257,-0.005922728,2.346654239
5/9/2000,-0.005774105,-0.008482904,-0.928579371
5/11/2000,-0.003066657,0.0177441,-0.266071736
5/12/2000,-0.000361402,0.009297394,-1.492032828
5/15/2000,-0.00580027,0.02185712,1.920875589
5/17/2000,-0.010562837,-0.012519725,0.830305781
5/18/2000,-0.001099103,-0.007341429,-1.72907601
5/22/2000,0.003107012,-0.004437851,2.452681928
5/23/2000,0.000182465,-0.019362094,-4.308004712
5/24/2000,-0.001277955,0.018169139,2.010050585
5/26/2000,-0.007527806,-0.002536656,3.375634823
5/30/2000,0.006795875,0.031733051,-2.628799814
5/31/2000,-0.003300333,-0.001301419,2.471610751
6/1/2000,0.000917852,0.019663212,-3.995036136
6/2/2000,0.03284901,0.019446491,3.588723281
6/6/2000,0.018018506,-0.006692967,1.103184218
6/7/2000,-0.015022117,0.009231255,-0.503413547
6/8/2000,0.005791014,-0.006607525,-0.6188304
6/19/2000,-0.014583592,0.014601372,0.035148863
6/20/2000,0.001048768,-0.006786096,-1.866041391
6/21/2000,-0.000524246,0.002152227,0.45496337
6/22/2000,0.005577843,-0.018388201,0.219389339
6/28/2000,0.014690715,0.002939387,2.922930202
6/30/2000,-0.005537304,0.008429489,-0.072090362
7/3/2000,-0.001736715,0.010218478,-1.351974167
7/7/2000,-0.00722152,0.015145559,-0.687590004
7/10/2000,0.004409567,-0.002220328,1.426763666
7/11/2000,-0.004409567,0.003558265,-0.471618313
7/12/2000,-0.010305706,0.008097428,0.026647845
7/20/2000,0.000537105,0.009141869,-3.301800716
7/21/2000,-0.000179003,-0.010336947,-1.221651046
7/25/2000,-0.000178747,0.00692812,-1.753984724
8/4/2000,-0.005642021,0.007113757,0.001375396
8/7/2000,-0.00274148,0.011141249,-1.170368044
8/8/2000,-0.000366099,0.00234967,-0.456969307
8/14/2000,0.010033834,0.013309233,1.177931055
8/15/2000,-0.004730722,-0.004791692,0.269689521
8/18/2000,-0.005788728,-0.002911853,1.953939523
8/24/2000,-0.002015576,0.00155261,2.002395376
8/25/2000,0.003844398,-0.001233929,0.875446052
8/31/2000,0.013447413,0.009992567,0.929117777
9/6/2000,-0.003095696,-0.009888956,-0.939944987
9/8/2000,0.000183335,-0.00534534,-3.116420131
9/13/2000,-0.007858946,0.001968385,0.934331358
9/14/2000,0.002199414,-0.002724411,-1.598500269
9/19/2000,-0.004221352,0.010597777,1.380394411
9/21/2000,-0.007025357,-0.001579098,2.759517817
9/27/2000,0.004718702,-0.000448528,2.474936509
9/29/2000,-0.009999174,-0.015047956,2.781854643
10/2/2000,-0.002011889,-0.000194936,2.742898531
10/3/2000,-0.003668383,-0.006825774,-2.955113813
10/5/2000,-0.003507156,0.001365568,1.63179348
10/11/2000,0.008283526,-0.016303544,1.083797808
10/12/2000,0.004572482,-0.025840502,-1.05477331
10/13/2000,-0.002740979,0.032836397,-0.751335282
10/16/2000,-0.006056731,0.000327417,5.400913901
10/19/2000,-0.006269613,0.034153358,-1.797873579
10/24/2000,-0.004615535,0.001682231,-0.49061833
10/26/2000,-0.001500375,-0.000337078,2.134784165
11/1/2000,0.003773589,-0.005739118,2.716734155
11/2/2000,-0.002451213,0.004983271,-0.290224656
11/6/2000,0.003959654,0.003847665,0.441810726
11/7/2000,-0.000753012,-0.000223459,1.186163096
11/8/2000,-0.005287021,-0.015902347,-2.316064957
11/10/2000,0.00075543,-0.024700112,-2.346993394
11/16/2000,0.00790518,-0.012664309,0.848691022
11/29/2000,-0.003153699,0.004346534,0.039676318
12/4/2000,0.005556599,0.007378262,-0.840324088
12/5/2000,0.000369344,0.038183287,-4.354871628
12/7/2000,0.008432681,-0.005870125,2.192160219
12/8/2000,-0.003474448,0.01941508,-2.08285324
12/11/2000,-0.008277432,0.007497972,1.819514659
12/12/2000,0.000184689,-0.006556733,-3.668473233
12/14/2000,-0.001113379,-0.014113944,-1.884769114
12/18/2000,-0.00055499,0.00803833,-0.954653154
1/8/2001,0.003360093,-0.00191966,3.724864583
1/9/2001,-0.004857099,0.003804892,-0.315666784
1/10/2001,-0.002625166,0.00954075,-1.534581798
1/11/2001,-0.008106369,0.010264892,1.054348734
1/16/2001,0.002840104,0.006298769,0.530396444
1/24/2001,-0.006976553,0.002862702,5.123620799
1/25/2001,0.002456772,-0.004989337,-1.599243898
1/31/2001,-0.001699878,-0.005635586,-1.329124782
2/1/2001,0.011838906,0.005446303,1.974999136
2/2/2001,-0.003555726,-0.017628462,-2.377409807
2/9/2001,-0.011666958,-0.013425251,1.966900439
2/12/2001,0.004606534,0.011757858,-0.796669477
2/13/2001,-0.001341382,-0.008689766,-0.9313996
2/14/2001,-0.001919386,-0.002186191,1.738290252
2/20/2001,-0.004671996,-0.017508886,0.177742386
2/22/2001,0.005229023,-0.001953679,2.329702
2/23/2001,0.006162161,-0.005570956,-0.883649631
3/6/2001,-0.002479261,0.009931109,-0.44833804
3/7/2001,-0.00459331,0.006431657,1.051080097
3/12/2001,0.00995767,-0.044140776,-1.40517236
3/13/2001,-0.011812614,0.014719631,1.269026798
3/20/2001,0.003830688,-0.024371946,1.562722297
3/21/2001,0.001719034,-0.018086295,-0.503003804
3/23/2001,0.006488572,0.019713495,-0.885656753
3/27/2001,-0.000763068,0.025253391,-1.988367972
4/4/2001,0.009098892,-0.002905361,3.196605894
4/5/2001,-0.005216899,0.042752964,-3.245130402
4/6/2001,0.002708456,-0.020186047,0.094922419
4/11/2001,0.004082829,-0.00213343,1.724057676
4/30/2001,-0.00549504,-0.002869121,1.924161966
5/1/2001,0.003224891,0.013498357,-2.081508699
5/3/2001,0.009239247,-0.014984323,0.933636451
5/10/2001,0.002237555,-0.00028677,1.261210408
5/11/2001,0.002232559,-0.007605451,-3.280173884
5/14/2001,-0.002605137,0.00260564,1.225523741
5/15/2001,-0.006542691,0.000416273,2.75495529
5/17/2001,0.011378357,0.002720054,1.992635482
5/22/2001,-0.024679737,-0.00263137,0.842688286
5/23/2001,-0.003525475,-0.01564823,-3.728820599
5/24/2001,0.010189828,0.003191055,2.651380851
5/25/2001,-0.034860368,-0.011886288,-0.085073164
5/29/2001,-0.001811595,-0.007824631,-2.53903417
5/30/2001,-0.017375837,-0.015779279,1.559452004
6/1/2001,-0.007881444,0.00385458,-0.027940335
6/7/2001,0.002257337,0.005441731,1.765063437
6/11/2001,0.005602256,-0.008391102,0.624305065
6/14/2001,0.001653348,-0.017656575,-1.957418738
6/18/2001,-0.000735024,-0.004895193,-0.077435841
6/19/2001,0.005133858,0.003428325,2.299891592
6/27/2001,0.002915454,-0.004687322,-1.45396553
6/28/2001,-0.01947517,0.01241569,0.925015192
6/29/2001,0.004073325,-0.001452694,0.58086072
7/2/2001,-0.008349617,0.009987365,-1.210145187
