Date,GT2 Govt,GT10 Govt,GT30 Govt,Slope_10_2,Slope_30_10,YieldChange,YieldCurvature
1999-12-31,0.06214,0.06442,0.06478,0.0022800000000000042,0.0003599999999999992,,0.001920000000000005
2000-01-03,0.06384,0.0659199999999999,0.06622,0.0020799999999999014,0.00030000000000010574,0.0014999999999998903,0.0017799999999997956
2000-01-04,0.06299,0.06497,0.06537,0.0019799999999999957,0.0003999999999999976,-0.0009499999999998954,0.001579999999999998
2000-01-05,0.06358,0.06594,0.06621,0.002360000000000001,0.00027000000000000635,0.0009699999999999986,0.0020899999999999946
2000-01-06,0.06299,0.06524,0.06553,0.002250000000000002,0.0002899999999999986,-0.0006999999999999923,0.0019600000000000034
2000-01-07,0.06308,0.06515,0.06546,0.0020700000000000024,0.0003100000000000047,-9.000000000000674e-05,0.0017599999999999977
2000-01-10,0.06359,0.06552,0.06584,0.0019300000000000012,0.00032000000000000084,0.00036999999999999533,0.0016100000000000003
2000-01-11,0.06428,0.06657,0.06671,0.0022900000000000004,0.00014000000000000123,0.0010500000000000093,0.002149999999999999
2000-01-12,0.06472,0.06703,0.06719,0.0023100000000000065,0.00015999999999999348,0.0004600000000000021,0.002150000000000013
2000-01-13,0.06394,0.0663,0.0665299999999999,0.002360000000000001,0.00022999999999989695,-0.0007300000000000084,0.002130000000000104
2000-01-14,0.0643,0.06679,0.06697,0.002490000000000006,0.0001799999999999996,0.0004900000000000043,0.0023100000000000065
2000-01-18,0.06465,0.06748,0.06747,0.002829999999999999,-9.999999999996123e-06,0.0006899999999999962,0.0028399999999999953
2000-01-19,0.06448,0.06732,0.06717,0.002840000000000009,-0.00015000000000001124,-0.00015999999999999348,0.0029900000000000204
2000-01-20,0.06492,0.06788,0.06747,0.0029599999999999904,-0.0004099999999999937,0.0005599999999999911,0.003369999999999984
2000-01-21,0.06458,0.06765,0.06695,0.0030700000000000033,-0.0007000000000000062,-0.0002299999999999941,0.0037700000000000095
2000-01-24,0.0640599999999999,0.0668499999999999,0.0665,0.002790000000000001,-0.00034999999999989206,-0.0008000000000001062,0.003139999999999893
2000-01-25,0.06432,0.06692,0.06634,0.002599999999999991,-0.0005799999999999972,7.000000000009776e-05,0.0031799999999999884
2000-01-26,0.06442,0.0666399999999999,0.0657099999999999,0.0022199999999998887,-0.0009300000000000003,-0.0002800000000000996,0.003149999999999889
2000-01-27,0.06506,0.06692,0.06519,0.0018599999999999867,-0.0017299999999999954,0.0002800000000000996,0.003589999999999982
2000-01-28,0.06557,0.06658,0.06452,0.001009999999999997,-0.0020600000000000063,-0.0003399999999999931,0.0030700000000000033
2000-01-31,0.06591,0.06665,0.06491,0.0007400000000000045,-0.0017400000000000054,7.000000000000062e-05,0.00248000000000001
2000-02-01,0.0657399999999999,0.06619,0.06423,0.0004500000000001031,-0.0019600000000000034,-0.0004600000000000021,0.0024100000000001065
2000-02-02,0.0659199999999999,0.06573,0.06284,-0.00018999999999989858,-0.0028900000000000037,-0.0004600000000000021,0.002700000000000105
2000-02-03,0.06523,0.06489,0.06136,-0.0003399999999999931,-0.0035300000000000054,-0.0008399999999999935,0.0031900000000000123
2000-02-04,0.06618,0.06549,0.06271,-0.0006899999999999962,-0.0027800000000000047,0.0006000000000000033,0.0020900000000000085
2000-02-07,0.0667,0.06639,0.0634199999999999,-0.00030999999999999084,-0.0029700000000001114,0.000899999999999998,0.0026600000000001206
2000-02-08,0.06678,0.06613,0.06231,-0.0006500000000000117,-0.003819999999999997,-0.0002600000000000102,0.0031699999999999853
2000-02-09,0.0665299999999999,0.0666,0.06314,7.000000000011164e-05,-0.0034600000000000047,0.0004700000000000121,0.0035300000000001164
2000-02-10,0.06662,0.06671,0.06429,9.000000000000674e-05,-0.0024200000000000055,0.00010999999999999899,0.0025100000000000122
2000-02-11,0.06645,0.06604,0.06269,-0.0004099999999999937,-0.0033500000000000058,-0.0006700000000000039,0.002940000000000012
2000-02-14,0.06619,0.06554,0.06227,-0.0006499999999999978,-0.003270000000000002,-0.0005000000000000004,0.0026200000000000043
2000-02-15,0.06628,0.06552,0.06246,-0.0007600000000000107,-0.0030599999999999933,-2.0000000000006124e-05,0.0022999999999999826
2000-02-16,0.06611,0.06545,0.06265,-0.0006600000000000078,-0.002799999999999997,-7.000000000000062e-05,0.002139999999999989
2000-02-17,0.06672,0.06567,0.06218,-0.0010499999999999954,-0.003490000000000007,0.00022000000000001185,0.0024400000000000116
2000-02-18,0.06638,0.06489,0.06158,-0.0014899999999999913,-0.0033100000000000004,-0.0007800000000000029,0.0018200000000000091
2000-02-22,0.06551,0.06361,0.06086,-0.001899999999999999,-0.0027500000000000024,-0.0012800000000000034,0.0008500000000000035
2000-02-23,0.06621,0.06423,0.06126,-0.0019800000000000095,-0.0029699999999999935,0.0006199999999999956,0.000989999999999984
2000-02-24,0.06521,0.06365,0.0613699999999999,-0.0015600000000000058,-0.0022800000000001014,-0.0005799999999999972,0.0007200000000000956
2000-02-25,0.0639499999999999,0.0632699999999999,0.06129,-0.00068,-0.0019799999999998985,-0.0003800000000001025,0.0012999999999998985
2000-02-28,0.06513,0.06422,0.06187,-0.0009099999999999941,-0.002349999999999998,0.0009500000000001035,0.0014400000000000038
